node_index	label
1	1
3	5
4	3
7	0
9	5
10	2
15	3
17	4
19	0
21	5
24	5
27	2
28	4
31	2
34	2
38	3
40	2
43	1
44	5
47	4
48	2
49	3
50	3
55	1
56	4
60	2
62	4
71	1
72	1
73	5
75	2
76	0
77	3
79	2
80	4
81	1
82	1
83	4
84	4
87	4
94	3
95	1
97	4
102	1
103	1
105	3
106	0
113	0
114	0
117	0
122	2
123	2
124	2
125	2
128	0
130	4
132	1
136	3
137	2
141	2
145	1
147	2
148	3
152	2
153	2
154	2
155	3
156	5
157	2
160	0
163	3
164	3
170	3
172	3
174	3
176	4
183	3
184	2
185	5
187	3
188	5
189	3
193	2
195	3
198	0
200	2
202	3
207	1
208	1
220	2
222	5
226	4
230	5
231	2
233	3
237	1
240	1
244	5
247	0
249	5
250	3
251	0
255	3
257	0
261	3
267	2
270	1
275	3
278	3
281	1
283	4
284	4
285	4
287	1
289	2
291	5
292	1
294	4
296	2
297	1
300	4
301	4
304	4
305	5
321	2
325	5
327	3
328	1
332	4
337	3
339	4
341	0
348	1
352	5
355	1
358	1
362	3
363	2
364	1
365	2
366	2
368	5
370	1
372	5
373	2
377	2
379	4
383	4
388	2
391	4
394	2
395	2
402	3
405	4
408	1
410	5
413	3
416	5
421	0
422	3
425	4
431	3
435	2
439	2
445	1
448	3
449	5
451	2
453	2
454	3
456	1
461	1
463	3
466	3
472	0
474	5
478	4
479	2
480	3
481	0
482	5
483	3
488	3
489	4
490	1
492	2
493	2
496	3
497	5
498	3
499	2
500	5
503	1
510	3
511	5
519	4
521	2
522	3
527	2
529	2
533	1
536	3
541	4
543	2
545	4
546	5
547	4
553	0
555	4
556	5
558	1
559	2
560	5
562	4
563	4
564	4
566	4
567	4
570	3
571	3
577	2
579	4
580	2
581	1
590	2
594	1
599	3
600	3
601	1
609	2
610	4
613	5
614	1
616	2
618	5
620	3
623	5
626	0
627	1
629	3
630	2
632	5
635	0
640	2
641	4
643	5
649	4
650	1
651	1
659	3
662	2
663	3
665	3
666	5
667	3
670	4
673	1
678	4
680	2
681	2
683	5
685	5
686	2
687	5
690	5
697	5
698	4
709	2
710	5
719	2
721	4
732	5
733	2
734	1
736	4
737	1
741	3
743	5
745	4
746	5
747	1
748	2
749	3
750	1
752	4
753	3
756	3
759	3
761	3
764	3
765	5
766	5
768	1
769	0
776	3
777	5
778	5
779	1
780	4
788	1
795	4
798	4
799	2
800	5
801	0
802	4
803	1
804	1
806	3
808	4
809	4
810	5
811	4
813	3
815	0
817	0
818	1
819	4
823	1
824	1
826	1
828	1
829	4
838	2
839	2
840	3
843	5
847	2
848	0
849	1
850	2
854	4
855	3
856	4
857	2
860	4
862	3
863	0
865	4
868	1
871	3
872	2
873	5
874	3
875	2
888	0
890	0
892	0
893	4
894	2
896	1
897	2
898	5
908	2
909	2
913	3
917	2
920	4
922	4
924	4
927	4
928	4
932	4
933	5
937	2
944	4
946	1
947	4
951	0
952	5
953	2
954	5
955	3
963	2
964	3
965	2
966	2
970	4
973	3
975	1
976	3
977	5
981	2
986	3
987	2
989	4
990	0
996	2
997	1
