node_index	label
0	34
1	8
4	9
5	28
8	15
9	37
11	9
14	0
16	3
17	40
22	34
23	38
24	38
26	15
27	3
30	26
33	34
37	29
39	6
40	15
41	33
43	19
44	30
45	15
47	32
50	23
52	30
53	14
56	34
57	15
58	0
59	14
61	6
63	36
68	23
75	28
76	8
78	31
79	18
82	31
85	1
88	17
90	22
92	1
93	36
95	36
96	8
102	23
110	35
111	3
112	9
113	3
114	0
125	10
127	27
129	3
131	18
132	3
133	12
134	34
135	19
138	8
139	27
140	1
144	8
145	3
146	2
149	3
152	4
156	18
162	40
163	21
168	31
172	18
176	3
178	40
179	2
186	38
187	18
191	19
193	8
198	38
204	19
209	7
213	23
215	37
218	33
223	15
225	26
229	35
230	3
231	15
232	23
233	23
246	28
248	19
255	30
260	8
264	37
265	0
267	10
273	8
274	18
276	21
278	23
280	18
283	35
285	14
286	31
288	25
292	7
297	3
307	19
308	38
311	36
313	0
317	15
320	26
322	0
326	29
336	10
338	18
341	3
344	10
345	3
348	40
349	15
351	16
355	3
360	8
362	3
377	32
385	4
387	31
388	31
392	33
393	38
394	38
395	3
396	17
397	10
398	15
402	15
403	40
405	18
407	18
410	17
414	30
419	8
422	37
425	37
428	11
434	20
435	18
437	36
438	29
442	4
443	27
446	5
448	9
451	3
452	3
454	37
455	25
457	39
458	2
462	3
463	38
468	34
473	31
480	0
481	23
486	3
488	10
489	0
490	3
495	31
498	23
499	30
502	3
503	6
505	4
507	15
508	27
512	19
518	15
519	26
524	7
527	26
528	18
529	15
530	6
533	18
535	18
537	26
539	0
541	23
542	38
543	27
544	19
549	38
550	18
552	37
555	15
557	27
558	23
559	19
566	26
572	9
573	11
576	29
577	38
578	15
579	31
580	5
581	15
593	16
594	34
596	26
598	27
599	3
603	26
612	27
613	38
615	36
619	18
622	0
629	28
632	18
633	0
636	15
637	20
641	29
642	5
644	39
645	17
649	22
650	23
651	32
652	18
653	28
656	4
657	11
658	38
659	0
660	15
662	18
663	27
664	18
665	21
667	20
675	36
676	33
677	12
679	15
680	38
681	15
682	23
685	3
686	33
691	35
695	15
697	30
701	27
702	20
707	13
708	8
710	15
711	10
715	15
716	15
721	26
732	4
734	23
735	18
736	38
737	23
744	32
746	38
747	33
748	13
753	26
754	36
756	3
759	23
762	18
763	38
766	27
767	22
770	18
773	1
778	32
779	15
780	18
783	0
784	8
790	21
795	11
796	0
804	6
812	2
813	29
814	34
817	29
821	38
822	14
827	18
829	18
833	23
842	15
843	15
844	31
846	15
851	38
853	33
860	27
861	3
863	19
866	34
868	18
869	37
873	0
876	20
877	36
880	18
881	34
882	15
883	15
884	33
889	15
891	3
893	3
897	14
900	17
902	23
904	27
906	1
909	3
911	18
912	3
916	8
917	10
920	22
921	13
923	22
925	19
926	23
934	15
938	29
944	3
945	19
947	40
948	0
949	8
951	6
953	17
956	40
957	38
958	8
962	13
965	40
968	19
972	19
974	38
975	30
980	8
982	30
984	35
988	2
989	18
992	8
995	25
996	26
997	31
999	8
1000	36
1002	31
1004	31
1005	15
1006	19
1008	8
1010	21
1011	38
1012	37
1016	27
1017	38
1020	18
1021	18
1028	27
1032	8
1033	3
1034	3
1039	14
1041	18
1043	13
1044	34
1045	28
1048	38
1052	18
1053	38
1055	15
1059	34
1061	19
1062	18
1065	9
1068	15
1069	8
1070	18
1072	2
1075	15
1078	36
1081	40
1083	15
1084	15
1092	8
1093	35
1096	39
1099	26
1100	3
1102	6
1105	3
1106	36
1110	7
1111	21
1113	33
1114	12
1116	3
1118	15
1120	13
1121	23
1122	36
1126	32
1127	19
1130	18
1131	1
1133	36
1144	33
1149	13
1152	0
1154	36
1160	15
1162	0
1166	0
1167	40
1169	3
1170	23
1171	19
1174	33
1177	40
1178	8
1180	12
1181	18
1183	18
1184	8
1185	37
1189	26
1193	38
1194	9
1198	19
1200	38
1201	10
1203	18
1212	8
1216	9
1218	0
1221	14
1227	5
1231	0
1233	15
1235	26
1239	15
1241	38
1247	15
1250	6
1252	27
1253	3
1257	0
1258	14
1263	31
1264	39
1265	19
1266	27
1267	38
1268	15
1270	38
1281	8
1282	38
1283	38
