node_index	label
0	19
2	19
4	19
5	19
7	19
8	19
10	19
12	19
13	19
14	19
17	19
18	19
22	19
25	19
29	19
30	19
33	19
35	19
36	19
37	19
38	19
39	19
43	19
45	19
46	19
47	19
53	19
56	19
58	19
60	19
61	19
64	19
68	19
70	19
74	19
75	19
76	19
78	19
79	19
80	19
82	19
83	19
87	19
90	19
91	19
95	19
98	19
100	17
102	19
103	19
105	19
106	19
107	19
110	19
112	19
114	19
115	19
120	19
122	19
124	19
125	19
127	19
129	19
136	19
137	19
141	19
144	19
148	19
151	19
153	19
155	19
156	19
158	19
161	19
167	19
171	19
173	19
177	19
178	19
182	19
184	19
185	19
186	19
187	19
192	19
194	19
195	19
197	19
198	19
200	19
201	19
203	19
206	19
208	9
211	19
219	19
221	19
224	19
226	19
227	19
228	19
232	19
234	19
235	19
243	19
247	19
248	19
250	19
252	19
253	19
254	19
256	19
259	19
262	19
264	19
266	19
267	19
269	19
279	19
281	19
282	19
284	19
287	19
288	19
292	19
293	19
295	19
296	19
301	19
307	19
308	19
309	19
310	19
312	19
313	19
314	19
315	19
325	19
330	19
336	19
342	19
346	19
347	19
350	19
352	19
358	19
363	19
364	7
373	19
376	19
377	19
380	19
382	19
383	19
384	19
386	19
390	19
393	19
394	19
397	19
400	19
403	19
404	19
405	19
407	19
408	19
413	19
414	19
419	10
425	19
426	19
430	19
437	19
441	19
442	19
447	19
448	19
449	19
450	19
451	19
452	19
459	19
467	19
468	19
472	19
476	19
478	19
480	19
481	19
486	19
487	19
489	19
491	19
493	19
494	19
496	19
497	19
502	19
511	19
512	19
513	19
519	19
522	19
524	19
525	19
526	19
531	19
533	19
535	19
536	19
539	19
541	19
542	19
545	19
546	19
547	19
551	19
554	19
555	19
559	19
560	19
566	19
567	19
570	19
572	19
573	19
575	19
576	19
578	19
581	19
582	19
587	19
589	19
597	19
600	19
602	19
605	19
606	19
610	19
613	19
615	19
616	19
621	19
626	19
629	19
630	19
631	19
633	19
640	19
644	19
647	19
650	19
651	19
653	19
659	19
660	19
663	19
664	19
666	19
667	19
668	19
672	19
674	19
680	19
684	19
689	12
694	19
696	19
697	19
699	19
700	19
702	19
708	19
710	19
717	19
718	19
719	19
720	19
721	19
724	19
726	19
727	19
728	19
734	19
736	19
737	19
738	19
741	19
742	19
744	19
745	19
746	19
749	19
750	19
752	19
760	19
761	19
762	19
766	19
768	19
772	19
774	19
775	19
777	19
783	19
785	19
786	19
787	19
788	19
789	19
792	19
795	19
797	19
798	19
799	19
802	19
803	19
805	19
806	19
807	19
812	19
813	19
814	19
815	19
818	19
819	19
821	19
822	19
823	19
825	19
828	19
832	19
833	19
835	6
836	19
837	19
839	19
842	19
843	19
849	19
851	19
852	19
856	19
865	19
867	19
868	19
871	19
872	19
873	19
874	19
876	19
878	19
879	19
880	19
881	19
882	19
884	19
885	19
887	19
895	19
898	19
900	19
902	19
905	19
906	16
907	19
909	19
910	19
912	19
914	19
917	19
922	19
925	19
926	19
930	19
933	19
934	19
939	19
946	19
949	2
950	19
952	19
954	19
956	6
957	19
961	19
963	19
969	19
971	19
974	19
975	19
978	19
979	19
982	19
983	19
984	19
989	19
991	19
993	19
996	19
997	19
998	19
1000	19
1006	19
1008	19
1009	19
1010	19
1011	19
1015	19
1021	19
1023	19
1024	19
1025	19
1026	19
1028	19
1034	19
1038	19
1039	19
1041	19
1047	19
1048	19
1051	19
1053	19
1054	19
1056	19
1061	3
1064	19
1066	19
1068	19
1071	19
1074	19
1077	19
1078	19
1081	8
1082	19
1083	19
1084	19
1087	19
1090	19
1093	19
