src_idx	dst_idx	edge_weight
0	792	1
1	792	1
2	792	1
3	792	1
4	792	1
5	792	1
6	792	1
7	792	1
8	792	1
9	7079	1
10	792	1
11	792	1
12	7079	1
13	7079	1
14	792	1
15	2254	1
15	2031	1
15	4996	1
15	6441	1
16	792	1
17	5035	1
18	792	1
19	7079	1
20	792	1
21	792	1
22	792	1
23	7079	1
24	7079	1
25	7079	1
26	7079	1
27	7079	1
28	7079	1
29	792	1
30	7079	1
31	7079	1
32	792	1
33	4329	1
34	7079	1
35	792	1
36	792	1
37	5035	1
38	792	1
38	1039	1
39	792	1
40	792	1
41	792	1
42	1039	1
43	792	1
43	5581	1
44	7079	1
45	792	1
46	7079	1
47	792	1
48	792	1
48	1039	1
49	7079	1
50	7079	1
51	7079	1
52	792	1
53	7079	1
54	7079	1
55	7079	1
56	792	1
57	792	1
58	7079	1
59	792	1
60	792	1
61	5035	1
62	792	1
63	792	1
64	1039	1
65	6489	1
65	5315	1
65	3375	1
66	792	1
67	792	1
68	7079	1
69	792	1
70	792	1
71	792	1
72	1039	1
73	792	1
74	7079	1
75	792	1
76	792	1
77	7079	1
78	792	1
79	792	1
79	1039	1
80	792	1
81	792	1
82	792	1
83	7079	1
84	792	1
85	7079	1
86	792	1
87	792	1
88	792	1
89	792	1
90	7079	1
91	792	1
92	7079	1
93	7079	1
94	792	1
95	7079	1
96	7079	1
97	792	1
98	792	1
99	7079	1
100	7079	1
101	1039	1
101	792	1
102	7079	1
103	792	1
104	6224	1
104	1039	1
105	792	1
106	7079	1
107	5035	1
108	7079	1
109	7079	1
110	6224	1
111	7079	1
112	5035	1
113	792	1
114	7079	1
115	1039	1
116	792	1
117	7079	1
118	792	1
119	792	1
120	792	1
121	792	1
122	3532	1
123	792	1
124	792	1
125	7079	1
126	792	1
127	6224	1
127	792	1
128	792	1
129	792	1
130	7079	1
131	7079	1
132	7079	1
133	7079	1
134	5035	1
135	792	1
136	7079	1
137	792	1
138	7079	1
139	792	1
140	792	1
141	7079	1
142	7079	1
143	7079	1
144	792	1
145	792	1
146	792	1
147	7079	1
148	792	1
149	7079	1
150	7079	1
151	792	1
152	7079	1
153	792	1
154	792	1
155	792	1
156	792	1
157	792	1
158	7079	1
159	7079	1
160	7079	1
161	792	1
162	792	1
163	7079	1
164	5315	1
165	792	1
166	792	1
167	5035	1
168	792	1
169	792	1
170	792	1
171	792	1
172	792	1
173	7079	1
174	7079	1
175	792	1
176	7079	1
177	7079	1
178	7079	1
179	792	1
180	792	1
181	792	1
182	7079	1
183	792	1
184	792	1
185	792	1
186	5035	1
187	792	1
188	5035	1
189	6224	1
190	7079	1
191	6224	1
192	792	1
193	792	1
194	7079	1
195	792	1
196	1039	1
197	792	1
198	7079	1
199	792	1
200	792	1
201	7079	1
202	792	1
203	5703	1
204	792	1
205	792	1
206	792	1
207	7079	1
208	7079	1
209	792	1
210	792	1
211	7079	1
212	792	1
213	792	1
214	7079	1
215	7079	1
216	7079	1
217	7079	1
218	1039	1
219	792	1
220	792	1
221	792	1
222	792	1
223	7079	1
224	792	1
225	3532	1
226	792	1
227	7079	1
228	792	1
229	792	1
230	792	1
231	792	1
232	792	1
233	7079	1
234	792	1
235	7079	1
236	792	1
237	5035	1
237	3532	1
238	6224	1
239	792	1
240	792	1
241	792	1
242	7079	1
243	792	1
244	792	1
245	1039	1
245	792	1
246	792	1
247	7079	1
248	3532	1
248	5035	1
249	7079	1
250	792	1
251	7079	1
252	792	1
253	7079	1
254	792	1
255	3532	1
255	5035	1
256	792	1
257	7079	1
258	7079	1
259	792	1
260	792	1
261	792	1
262	792	1
263	5035	1
264	792	1
265	7079	1
266	7079	1
267	792	1
268	7079	1
269	7079	1
270	7079	1
271	792	1
272	792	1
272	1039	1
273	7079	1
274	5035	1
275	7079	1
276	792	1
277	792	1
278	792	1
279	792	1
280	792	1
281	792	1
282	7079	1
283	7079	1
284	792	1
285	792	1
286	1039	1
287	5035	1
288	7079	1
289	7079	1
290	792	1
291	792	1
292	792	1
292	1039	1
293	792	1
294	7079	1
295	792	1
296	792	1
297	792	1
298	7079	1
299	7079	1
300	7079	1
301	792	1
302	7079	1
303	7079	1
304	792	1
305	792	1
306	1039	1
307	7079	1
308	7079	1
309	7079	1
310	792	1
311	7079	1
312	792	1
313	7079	1
314	7079	1
315	1039	1
316	792	1
317	792	1
318	792	1
319	7079	1
320	7079	1
321	7079	1
322	7079	1
323	792	1
324	7079	1
325	7079	1
326	7079	1
327	7079	1
328	6224	1
328	7079	1
329	792	1
330	5035	1
331	792	1
332	7079	1
333	792	1
334	5315	1
335	792	1
336	7079	1
337	792	1
338	7079	1
339	2109	1
340	792	1
341	5035	1
342	792	1
343	792	1
344	792	1
345	7079	1
346	792	1
347	792	1
348	792	1
349	792	1
350	5035	1
351	792	1
352	792	1
353	5035	1
354	7079	1
355	792	1
356	7079	1
357	7079	1
358	3532	1
359	792	1
360	792	1
361	792	1
362	7079	1
363	792	1
364	792	1
365	792	1
366	792	1
367	792	1
368	1039	1
369	5035	1
370	7079	1
371	1039	1
372	792	1
373	7079	1
374	7079	1
375	7079	1
376	792	1
377	7079	1
378	792	1
379	792	1
380	7079	1
381	792	1
382	792	1
383	5035	1
384	792	1
385	792	1
386	7079	1
387	7079	1
388	7079	1
389	792	1
390	792	1
390	1039	1
391	7079	1
392	7079	1
393	792	1
394	792	1
395	5504	1
396	7079	1
397	792	1
398	7079	1
399	792	1
400	792	1
401	792	1
402	792	1
403	792	1
404	7079	1
405	7079	1
406	792	1
407	7079	1
408	792	1
409	792	1
410	7079	1
411	5035	1
412	7079	1
413	5035	1
414	792	1
415	5035	1
416	792	1
417	792	1
418	1039	1
418	792	1
419	7079	1
420	792	1
421	792	1
422	792	1
423	7079	1
424	4455	1
424	6728	1
424	6991	1
424	4461	1
424	3079	1
424	3800	1
424	3308	1
424	6589	1
425	7079	1
426	792	1
427	7079	1
427	3532	1
428	7079	1
429	792	1
430	7079	1
430	3532	1
431	792	1
432	7079	1
433	792	1
434	792	1
